Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
05 May 2020,348,348.3,329.65,330.85,339.3445466,2240054,26060,760150109,1039435,46.4,18.65,-17.15
06 May 2020,330,345.4,325.3,341.4,338.507886,1305155,20080,441805260,201539,15.44,20.1,11.4
07 May 2020,337.95,342.85,334.1,336.75,338.3346411,742760,10625,251301438,132263,17.81,8.75,-1.2
08 May 2020,344,352.5,333.75,337.75,346.4499478,1558394,18566,539905520,593687,38.1,18.75,-6.25
11 May 2020,344.9,344.9,318.15,320.1,328.4287864,3216480,47120,1056384623,1129432,35.11,26.75,-24.8
12 May 2020,319.85,324.5,308.15,321.4,314.9322713,2139610,32025,673832237,414680,19.38,16.35,1.55
13 May 2020,344.4,348.4,332.4,337.6,341.2103793,2881324,34372,983137655,886329,30.76,16,-6.8
14 May 2020,331,334.4,325.75,327.45,328.6016271,1384813,16966,455051805,321321,23.2,8.65,-3.55
15 May 2020,329.7,330.45,318.8,322.65,321.6890498,911432,13508,293197694,184377,20.23,11.65,-7.05
18 May 2020,320.9,320.9,293.5,298.65,301.1701114,2359301,40671,710550945,817359,34.64,27.4,-22.25
19 May 2020,305.5,311.7,297.15,300.4,303.679999,1835332,29857,557353620,479765,26.14,14.55,-5.1
20 May 2020,298,308.15,298,306.1,302.9384078,1383114,30589,418998353,399146,28.86,10.15,8.1
21 May 2020,306.8,312.8,302.1,304.35,308.2803276,1304984,19000,402300895,351845,26.96,10.7,-2.45
22 May 2020,301.35,307.5,285.7,291.2,292.932761,2544460,34605,745355693,697181,27.4,21.8,-10.15
26 May 2020,295.4,297.8,290,292.55,293.6364652,1162197,22930,341263419,386659,33.27,7.8,-2.85
27 May 2020,295.85,321.8,295.05,318.8,310.3704247,2369853,31915,735532282,632438,26.69,26.75,22.95
28 May 2020,322.9,329.7,321,326.75,325.9078798,1827449,22104,595580029,350600,19.19,8.7,3.85
29 May 2020,323.05,334.2,320,332.1,325.190892,3607234,21787,1173039642,400945,11.12,14.2,9.05
01 June 2020,338.2,348,336.35,339,342.9550721,1691066,22461,579959662,417619,24.7,11.65,0.8
02 June 2020,337.1,350,332.45,348.5,342.8852557,1659289,19292,568945733,350059,21.1,17.55,11.4
03 June 2020,356.3,372.95,353.7,356.65,363.5528652,2132167,29706,775155422,413000,19.37,19.25,0.35
04 June 2020,355.4,363,345.45,347.85,353.4841441,1831626,25974,647450749,466483,25.47,17.55,-7.55
05 June 2020,349.9,360,347.1,357.25,353.0519578,1199877,15337,423618924,220414,18.37,12.9,7.35
08 June 2020,365.1,373.85,353.3,360.1,364.0074602,1895667,26063,690036930,579240,30.56,20.55,-5
09 June 2020,360.75,369.1,345.2,348.75,359.5576585,1459958,20234,524939080,340912,23.35,23.9,-12
10 June 2020,349,356.7,345.4,353.4,350.4589426,1229912,15018,431033659,165156,13.43,11.3,4.4
11 June 2020,352.2,354.2,340.1,341.15,345.8473021,1232322,15484,426195239,284667,23.1,14.1,-11.05
12 June 2020,323.2,346.1,323.2,344.25,334.9708939,1572761,20805,526829158,260678,16.57,22.9,21.05
15 June 2020,341.75,341.75,325.4,330.9,330.8200224,1871666,29911,619184588,503477,26.9,16.35,-10.85
16 June 2020,341.6,347.85,326.55,342.8,339.5604749,2010363,27112,682639815,618767,30.78,21.3,1.2
17 June 2020,338.5,350.85,335.9,342.15,344.3031751,1394244,17062,480042636,206837,14.84,14.95,3.65
18 June 2020,340,354.55,337.25,352,346.3231302,1978976,27879,685365163,546444,27.61,17.3,12
19 June 2020,351.5,365.2,349.25,363.9,358.694473,2655225,39566,952414532,1046879,39.43,15.95,12.4
22 June 2020,366,375.25,365.35,367.8,370.8876621,2563347,35360,950713776,771271,30.09,9.9,1.8
23 June 2020,370.5,378.2,364.1,376.05,370.92114,1801167,26184,668090917,567609,31.51,14.1,5.55
24 June 2020,379.15,380,345,348.4,361.6111477,2071990,28191,749254682,656639,31.69,35,-30.75
25 June 2020,340.05,355.55,338.55,351.15,348.751492,3128306,38917,1091001385,428006,13.68,17,11.1
26 June 2020,356.4,358.4,346.1,349,351.5598264,1858142,23830,653248079,389362,20.95,12.3,-7.4
29 June 2020,346,346,338.5,343.15,341.5519311,1086806,13694,371200688,229079,21.08,7.5,-2.85
30 June 2020,346,354.35,346,351.45,351.3057207,1727279,25443,606802994,624986,36.18,8.35,5.45
01 July 2020,355,365.75,351.6,363.95,359.4423561,2175826,39889,782084024,980216,45.05,14.15,8.95
02 July 2020,365.1,370.75,361.3,362.7,366.5565062,1163245,14614,426395023,176788,15.2,9.45,-2.4
03 July 2020,365,368.4,359.85,361,363.1024292,798737,10055,290023345,109152,13.67,8.55,-4
06 July 2020,368,368,360.65,361.8,362.8575554,1050689,12365,381250442,269354,25.64,7.35,-6.2
07 July 2020,362.2,377.6,362.2,375.7,371.3408514,1497019,18114,555904310,317456,21.21,15.4,13.5
08 July 2020,378.7,378.95,367.6,368.9,374.5590818,1637900,16800,613490320,380982,23.26,11.35,-9.8
09 July 2020,373.8,376.05,365.35,370.55,370.6228133,1059889,12574,392819043,266183,25.11,10.7,-3.25
10 July 2020,364.85,368.2,359,360.35,363.0415912,1306864,23102,474445986,406140,31.08,9.2,-4.5
13 July 2020,364.6,367,352.5,353.55,357.4709046,911380,11631,325791833,240798,26.42,14.5,-11.05
14 July 2020,352,352.4,340.8,345.6,346.3796632,932508,12266,323001807,248461,26.64,11.6,-6.4
15 July 2020,348,356.5,343.8,345.75,351.0113671,1294879,21190,454517248,353611,27.31,12.7,-2.25
16 July 2020,347.1,348.45,341,344.75,344.6594542,707338,9173,243790729,134448,19.01,7.45,-2.35
17 July 2020,345.5,356,345.5,353.85,349.7779341,1376596,19449,481502905,441126,32.04,10.5,8.35
20 July 2020,358.1,366.15,355.5,362.85,362.9086627,2214407,30924,803627483,741417,33.48,10.65,4.75
21 July 2020,370.55,379.9,370,378.85,375.0852852,1598168,19766,599449300,545210,34.11,9.9,8.3
22 July 2020,385.8,389.4,375.4,381.1,382.2683766,2827065,38590,1080697548,1154257,40.83,14,-4.7
23 July 2020,382.7,395.5,378.85,392.3,384.4928177,2529698,33569,972650712,1375036,54.36,16.65,9.6
24 July 2020,388.2,389,372.15,381.85,381.1537088,2437511,33707,929066358,678191,27.82,16.85,-6.35
27 July 2020,388.8,388.8,356.65,358.5,365.4257933,3633641,58569,1327826145,1165294,32.07,32.15,-30.3
28 July 2020,361.4,362.85,343.3,351.9,350.8675164,3179955,36347,1115742913,867736,27.29,19.55,-9.5
29 July 2020,353.1,357.7,348.6,350.95,353.9048496,1632205,19359,577645265,489946,30.02,9.1,-2.15
30 July 2020,352.65,354.45,340.5,345.05,347.6599969,1203636,14985,418456088,346086,28.75,13.95,-7.6
31 July 2020,345.55,352.9,341.95,346.9,347.3622556,1920230,28237,667015424,415863,21.66,10.95,1.35
03 August 2020,347,349.3,340.6,343.4,343.8810631,2216436,29500,762190368,1089840,49.17,8.7,-3.6
04 August 2020,346.4,353,344,351.05,348.9402703,1756798,27811,613017569,656193,37.35,9,4.65
05 August 2020,354.2,359.85,350.85,352.2,355.9438419,2414666,30478,859485493,864037,35.78,9,-2
06 August 2020,352.5,363.65,348.7,359.15,356.6116304,1479588,15790,527638289,269717,18.23,14.95,6.65
07 August 2020,359.2,359.5,351,357.85,356.9327911,1146425,15750,409196675,355782,31.03,8.5,-1.35
10 August 2020,359,364.95,357.55,363.6,361.3463921,602687,8070,217778773,162805,27.01,7.4,4.6
11 August 2020,369.1,374.15,364.5,367.4,369.1797128,2684989,36647,991243468,1154241,42.99,9.65,-1.7
12 August 2020,365,368.75,363.55,366.8,366.3707944,2853967,20005,1045610157,2049501,71.81,5.2,1.8
13 August 2020,367.75,372.15,366.15,367.9,369.0103176,891195,7616,328860150,411183,46.14,6,0.15
14 August 2020,371.4,371.75,354.4,361.45,366.0200893,1864622,13085,682489111,1083141,58.09,17.35,-9.95
17 August 2020,366.1,367.15,354.45,360.25,359.7860432,1316144,19545,473530242,287160,21.82,12.7,-5.85
18 August 2020,361.1,369.95,361.1,369.4,366.4602693,1903781,25054,697660098,1068539,56.13,8.85,8.3
19 August 2020,373.7,375.7,370.4,374.35,373.7390611,1120174,11641,418652779,546953,48.83,5.3,0.65
20 August 2020,366.3,369.65,362.55,367.9,365.9463048,1453519,13997,531909907,498620,34.3,7.1,1.6
21 August 2020,369.55,373,367.1,371.15,369.6915642,1700101,17770,628512998,853846,50.22,5.9,1.6
24 August 2020,373,381.05,373,380.2,378.3979397,11867264,34169,4490548248,10612781,89.43,8.05,7.2
25 August 2020,382,389.9,381.8,386.2,386.2622754,1634892,15520,631497104,479817,29.35,8.1,4.2
26 August 2020,387,391.5,384.2,389.35,388.1710887,1732119,9265,672358518,586103,33.84,7.3,2.35
27 August 2020,391,397.4,388.2,392.45,393.6107071,1131048,9496,445192603,404944,35.8,9.2,1.45
28 August 2020,394,411.65,393.25,409.75,406.6640534,3676950,55336,1495283391,1644135,44.71,18.4,15.75
31 August 2020,415,422.05,387.25,395,402.3927684,3127041,47416,1258298685,956937,30.6,34.8,-20
01 September 2020,394.15,399.6,385.25,391.1,391.7323567,1984081,28122,777228726,828395,41.75,14.35,-3.05
02 September 2020,386,393.8,381.15,392.25,388.1237657,1322386,18360,513249434,404988,30.63,12.65,6.25
03 September 2020,392.8,392.8,381.3,382.75,385.1453887,563957,7356,217205438,155903,27.64,11.5,-10.05
04 September 2020,373.1,379.3,368.7,372.8,373.8761209,1475108,24773,551507657,573379,38.87,10.6,-0.3
07 September 2020,373.3,376.65,369.1,373.25,373.9797346,1203729,16029,450170252,506358,42.07,7.55,-0.05
08 September 2020,371.55,381.1,369.8,375.9,377.5838335,1430442,12089,540111774,739044,51.67,11.3,4.35
09 September 2020,369.3,372.35,362.1,367.75,366.9021261,955546,18847,350591859,239740,25.09,10.25,-1.55
10 September 2020,372,375,365.55,370.45,371.5018832,1498817,17922,556813338,743243,49.59,9.45,-1.55
11 September 2020,372.5,373.9,365.1,370.15,369.6131402,1133788,8467,419062943,669093,59.01,8.8,-2.35
14 September 2020,373,373.9,359.6,363.65,367.5202315,665867,8354,244719594,236044,35.45,14.3,-9.35
15 September 2020,363.65,372,363.65,371.45,369.6242788,768631,9370,284104679,212958,27.71,8.35,7.8
16 September 2020,372.7,376.75,365,374.75,371.4264874,523366,6472,194391995,97631,18.65,11.75,2.05
17 September 2020,369.5,371.5,367.4,368.9,369.3700125,561654,9620,207458145,139991,24.92,4.1,-0.6
18 September 2020,370.85,374.6,364.8,369.9,371.2265232,1395389,10721,518005407,817099,58.56,9.8,-0.95
21 September 2020,366.25,368.65,349.25,350.85,358.0180754,1148246,30227,411092823,422420,36.79,19.4,-15.4
22 September 2020,353.25,356,349.4,354.5,352.5299939,1501006,22708,529149636,406104,27.06,6.6,1.25
23 September 2020,356.65,357.2,342.45,351.7,349.8727019,845708,17950,295890143,283597,33.53,14.75,-4.95
24 September 2020,345.55,347.2,334,335.8,341.0940153,587000,10332,200222187,213615,36.39,13.2,-9.75
25 September 2020,338.1,350.4,336.55,348.5,343.0510113,898056,14628,308079019,250317,27.87,13.85,10.4
28 September 2020,351.9,363.95,349.2,362.9,358.8737732,654354,8839,234830489,214711,32.81,14.75,11
29 September 2020,364.4,364.4,354.25,356.95,357.7292181,383530,5315,137199887,63483,16.55,10.15,-7.45
30 September 2020,357.05,357.35,349.5,354.9,354.8261425,1027905,5799,364727566,674927,65.66,7.85,-2.15
01 October 2020,357.5,370.95,357.5,369.15,366.6627631,1541845,24515,565337148,797601,51.73,13.45,11.65
05 October 2020,370.95,382.45,370.95,373.15,377.3854733,737885,10261,278467080,160892,21.8,11.5,2.2
06 October 2020,376.5,381.6,375.05,380.45,378.5024887,903288,14792,341896756,408541,45.23,6.55,3.95
07 October 2020,379.9,384.2,374.15,382.95,380.5606954,529587,6873,201539997,140526,26.54,10.05,3.05
08 October 2020,385,389.6,382.75,387.55,387.4081615,1221438,20045,473195050,597725,48.94,6.85,2.55
09 October 2020,388.6,403.5,386.8,401.65,397.8388005,2517750,41889,1001658640,1295652,51.46,16.7,13.05
12 October 2020,404.25,409.95,400.55,403.85,405.6568251,1275912,23134,517582411,554706,43.48,9.4,-0.4
13 October 2020,401.6,401.6,393.55,396.15,396.4204895,470963,5936,186699383,108849,23.11,8.05,-5.45
14 October 2020,394.15,409,389,406.8,398.141185,555137,6920,221022903,116693,21.02,20,12.65
15 October 2020,407,409.85,389.2,390.9,402.8607862,1838244,20335,740556423,1005335,54.69,20.65,-16.1
16 October 2020,394.2,401.3,390.55,395.95,395.9166559,574078,6342,227287042,88688,15.45,10.75,1.75
19 October 2020,400.1,418.7,400.1,417.05,413.1641043,1261923,17327,521381286,399463,31.66,18.6,16.95
20 October 2020,413.95,416.85,410.8,414.55,413.8003401,627993,6274,259863717,128975,20.54,6.05,0.6
21 October 2020,416,428.25,410.4,420.35,421.4118006,1058131,12593,445908890,188596,17.82,17.85,4.35
22 October 2020,416.9,419.45,407.7,412.95,414.0121134,790858,14367,327424792,197863,25.02,11.75,-3.95
23 October 2020,416.2,420.55,411.6,416.85,416.3672534,754528,10306,314160751,240316,31.85,8.95,0.65
26 October 2020,417.55,418.95,401.5,404.95,407.0431826,562727,8365,229054189,160094,28.45,17.45,-12.6
27 October 2020,404.55,412.25,393,409.85,404.4778674,1081231,15745,437334009,294433,27.23,19.25,5.3
28 October 2020,412.5,412.5,395,396.15,404.0504737,1400235,11239,565765615,874340,62.44,17.5,-16.35
29 October 2020,391.6,401.9,389.6,399.9,397.059317,1124281,18125,446406246,329252,29.29,12.3,8.3
30 October 2020,400.7,402.85,388.1,392.55,394.8329131,1062794,16379,419626051,274455,25.82,14.75,-8.15
02 November 2020,417.95,422.85,407.2,417.1,414.6804471,2489034,29401,1032153732,911761,36.63,15.65,-0.85
03 November 2020,424.2,447,424.1,444.25,436.4786669,1948570,26231,850509236,809954,41.57,22.9,20.05
04 November 2020,436,442.1,425.15,437.25,434.4783956,1810742,28247,786728279,692859,38.26,16.95,1.25
05 November 2020,444,445.5,435.65,438.3,440.0662003,1536714,20224,676255891,729000,47.44,9.85,-5.7
06 November 2020,439.95,444.9,436.4,443.1,440.6351767,1508681,15189,664777919,762168,50.52,8.5,3.15
09 November 2020,449.2,464.65,449.15,462.7,458.164099,2182652,29114,1000012787,948538,43.46,15.5,13.5
10 November 2020,484.25,486.5,472.8,483.9,477.5395581,2300829,33350,1098736864,1167600,50.75,13.7,-0.35
11 November 2020,484.5,490.5,472.25,486.5,482.9611627,2474890,36196,1195275752,1012413,40.91,18.25,2
12 November 2020,481,483.4,471.6,476.3,477.105993,976338,10557,465816711,350211,35.87,11.8,-4.7
13 November 2020,473.5,486.8,467.7,485.4,476.1419418,1820162,12490,866655469,1107965,60.87,19.1,11.9
14 November 2020,489.9,489.9,484.55,486.75,487.738519,164532,4416,80248594,68613,41.7,5.35,-3.15
17 November 2020,487,493.15,478.45,486.2,483.3285356,1176606,15123,568687255,585979,49.8,14.7,-0.8
18 November 2020,489,499,486.65,497.45,492.2722702,1249127,12666,614910584,668977,53.56,12.35,8.45
19 November 2020,490,493.25,476,478.35,486.7980157,982908,11937,478477664,324674,33.03,17.25,-11.65
20 November 2020,478.65,483.25,468.3,480.2,475.327595,1097187,15963,521523258,513680,46.82,14.95,1.55
23 November 2020,480.4,483.2,466.6,468.3,472.3329838,1300868,23225,614442864,493419,37.93,16.6,-12.1
24 November 2020,473.1,479.7,471.15,478.3,475.5157287,1376691,18614,654638224,730794,53.08,8.55,5.2
25 November 2020,483,489.8,471.3,472.65,482.8603053,1865224,28810,900642630,585494,31.39,18.5,-10.35
26 November 2020,474.2,477.05,465.95,475.4,471.477581,884248,12431,416903108,355390,40.19,11.1,1.2
27 November 2020,475.6,479.3,471,472.8,475.726528,1424943,16768,677883186,735366,51.61,8.3,-2.8
01 December 2020,483,488.5,474.15,485.25,482.4091573,525524,7351,253517590,196818,37.45,14.35,2.25
02 December 2020,487,487,472.2,480.45,478.4355815,856788,14265,409917865,168815,19.7,14.8,-6.55
03 December 2020,481.7,484.8,479,481.9,482.4907448,1980461,15751,955554103,1199642,60.57,5.8,0.2
04 December 2020,484.45,504,483.1,502.15,494.54042,2357211,35527,1165736118,1271903,53.96,20.9,17.7
07 December 2020,504.1,515.5,504.1,510.65,509.3627443,1609886,27481,820015951,707076,43.92,11.4,6.55
08 December 2020,511.7,511.7,505.3,508.5,507.837119,1033896,20754,525050766,570617,55.19,6.4,-3.2
09 December 2020,511.4,514.95,506.1,511.3,510.1414552,901211,16256,459745091,353595,39.24,8.85,-0.1
10 December 2020,508.5,514.4,498.8,506.95,506.0658705,1011151,13521,511709011,446872,44.19,15.6,-1.55
11 December 2020,508.5,516.9,506.15,515.2,511.537111,1201141,14086,614428197,571501,47.58,10.75,6.7
14 December 2020,517.25,527.9,517.25,525.85,523.6759279,1667240,10217,873093454,1008244,60.47,10.65,8.6
15 December 2020,524.9,524.9,513.15,517.9,516.7481262,1440293,12788,744268709,765616,53.16,11.75,-7
16 December 2020,520.8,521.35,511.1,512.25,515.3700962,634935,7424,327226512,188172,29.64,10.25,-8.55
17 December 2020,514,516.45,509.05,509.9,511.7826225,776704,6214,397503610,322822,41.56,7.4,-4.1
18 December 2020,514.7,518.2,509.35,517.05,513.4478263,850294,7982,436581606,350061,41.17,8.85,2.35
21 December 2020,515.4,515.4,488.3,494.35,503.7628763,1103015,17372,555658009,469406,42.56,27.1,-21.05
22 December 2020,495.1,501.75,489,500.5,496.2352112,900684,12309,446951115,278930,30.97,12.75,5.4
23 December 2020,499,505.4,496.3,503.6,501.6799623,976991,11699,490136808,533786,54.64,9.1,4.6
24 December 2020,507.2,515.9,506.1,513.65,512.3505998,851689,12267,436363370,451270,52.99,9.8,6.45
28 December 2020,516.45,521.15,514.05,520.2,518.0261725,869004,12341,450166816,524778,60.39,7.1,3.75
29 December 2020,522.8,530.8,517.75,528.95,523.2363428,1420678,18254,743350361,937675,66,13.05,6.15
30 December 2020,532.6,532.85,524.6,528.45,527.3735308,866108,13318,456762434,422920,48.83,8.25,-4.15
31 December 2020,530,538.4,526.65,534.8,534.5539585,861449,9963,460490973,449254,52.15,11.75,4.8
01 January 2021,534.8,536.4,526.4,527.55,530.0527797,363909,5253,192890977,113370,31.15,10,-7.25
04 January 2021,531.3,535,524.05,531.65,530.4821061,1010850,13489,536237837,493585,48.83,10.95,0.35
05 January 2021,527.35,539.95,522.8,537.05,529.2665595,719708,7540,380917377,275532,38.28,17.15,9.7
06 January 2021,537.3,550.55,536.2,546.7,543.9372954,931048,10876,506431731,281324,30.22,14.35,9.4
07 January 2021,551,554.15,539.7,541.1,546.8949287,857751,12939,469099672,359192,41.88,14.45,-9.9
08 January 2021,546,546.65,536.4,542.1,540.772009,692159,10200,374300213,313728,45.33,10.25,-3.9
11 January 2021,544.2,545.95,534.8,544.75,539.4615868,1028422,13059,554794164,658562,64.04,11.15,0.55
12 January 2021,538.05,550.5,537.2,547.9,544.1359285,828980,12915,451077802,360515,43.49,13.3,9.85
13 January 2021,550.5,561,548.7,556.4,554.4967851,771708,10336,427909605,218329,28.29,12.3,5.9
14 January 2021,554.4,558.25,550.55,553,554.2279858,904302,5573,501189476,670350,74.13,7.7,-1.4
15 January 2021,550.75,551.1,541.85,542.8,544.8578122,617838,7964,336633861,310043,50.18,9.25,-7.95
18 January 2021,543.5,548.4,528.8,532.25,539.231543,570935,7757,307866161,191529,33.55,19.6,-11.25
19 January 2021,539.8,547.95,534,546.3,540.4623363,360028,5548,194581574,104850,29.12,13.95,6.5
20 January 2021,546.9,554.5,546.9,550.8,551.9570025,387790,5684,214043406,163589,42.18,7.6,3.9
21 January 2021,554.55,560.85,549.7,552.25,556.1217998,530354,9559,294941421,268029,50.54,11.15,-2.3
22 January 2021,552.25,553.8,530.8,533.55,540.0837536,680878,12631,367731146,263382,38.68,23,-18.7
25 January 2021,534,542.3,531.2,538.1,536.191735,625332,8044,335297850,236553,37.83,11.1,4.1
27 January 2021,538.1,539.25,519.1,522.3,528.2400877,752296,21683,397392905,363921,48.37,20.15,-15.8
28 January 2021,513,530,512.1,528.15,518.8373554,1281014,13243,664637916,742792,57.98,17.9,15.15
29 January 2021,536,544.8,529.85,537,535.9744049,670598,11869,359423364,260174,38.8,14.95,1
01 February 2021,550.2,609.5,550.2,603.95,583.0772377,2578043,39170,1503198191,640538,24.85,59.3,53.75
02 February 2021,613.4,623.9,598.7,617.25,613.0291642,2042403,35847,1252052604,732835,35.88,25.2,3.85
03 February 2021,623,627.5,614,622.25,622.1537375,2689546,11080,1673311096,247382,9.2,13.5,-0.75
04 February 2021,618,631.5,609,627.5,620.9519418,1267484,9387,787046651,783331,61.8,22.5,9.5
05 February 2021,639,639,611.1,614.6,622.4240553,991465,21071,617111666,318582,32.13,27.9,-24.4
08 February 2021,622.3,633.85,622.3,629.55,624.9590539,1482779,15693,926676161,837049,56.45,11.55,7.25
09 February 2021,630.1,643.05,628.75,633.7,636.3252947,748057,10800,476007591,293651,39.26,14.3,3.6
10 February 2021,633,638.2,626.5,632.4,632.8533388,507878,10007,321412288,112275,22.11,11.7,-0.6
11 February 2021,627,633.6,624.2,630.65,628.837154,422086,8873,265423359,96128,22.77,9.4,3.65
12 February 2021,630.4,649.25,630,647.5,641.8997192,506817,7556,325325690,165335,32.62,19.25,17.1
15 February 2021,652,676.5,652,674,666.0039895,909641,13152,605824535,270073,29.69,24.5,22
16 February 2021,674.5,679.3,649.3,658.5,660.8085429,792731,16626,523843417,236688,29.86,30,-16
17 February 2021,655.35,664.75,649.4,657,657.1342436,657655,13781,432167621,195910,29.79,15.35,1.65
18 February 2021,659.95,659.95,637.85,644.55,644.6285802,890825,11583,574251255,450467,50.57,22.1,-15.4
19 February 2021,638,638,618.95,623.9,627.8168458,689108,13605,432633611,212120,30.78,19.05,-14.1
22 February 2021,622.75,629.25,607.5,609.85,616.3423782,485393,9083,299168276,132120,27.22,21.75,-12.9
23 February 2021,613.55,622.9,608.75,616.15,616.5654389,713918,11238,440177165,263607,36.92,14.15,2.6
24 February 2021,612,646.6,582.2,641.4,619.4539612,3960028,55537,2453055031,2021360,51.04,64.4,29.4
25 February 2021,640.15,648.35,626.55,627.95,637.4488835,2165974,27051,1380697708,1170694,54.05,21.8,-12.2
26 February 2021,615.5,615.55,591.05,597.6,604.4929249,3441516,32131,2080372073,2101860,61.07,24.5,-17.9
01 March 2021,606,611.75,600.4,608.15,606.7070498,821597,12555,498468692,210033,25.56,11.35,2.15
02 March 2021,612.4,616.15,598.95,610.5,607.918793,585762,10274,356095728,109079,18.62,17.2,-1.9
03 March 2021,616.2,633.5,613.75,631.85,623.4998418,1836511,23135,1145064318,1412668,76.92,19.75,15.65
04 March 2021,620.4,630.6,615.7,620.9,624.4586833,1063710,7532,664242946,638217,60,14.9,0.5
05 March 2021,615,615,601.5,609.7,608.8211193,1000801,22479,609308785,285806,28.56,13.5,-5.3
08 March 2021,612.55,615.95,601.55,608.15,609.2043052,711132,14557,433224676,173175,24.35,14.4,-4.4
09 March 2021,613.1,628,613.1,625.2,621.7942298,1126796,22551,700635251,597432,53.02,14.9,12.1
10 March 2021,630.4,630.4,621.7,625.75,625.9422347,722839,13898,452455459,455066,62.96,8.7,-4.65
12 March 2021,633,637.75,608.4,612.85,626.9486445,1187019,21749,744199953,568986,47.93,29.35,-20.15
15 March 2021,611.1,612.6,590.65,603.25,609.742453,4022201,26861,2452506704,3453771,85.87,21.95,-7.85
16 March 2021,608.15,608.15,593.6,594.9,599.9796348,497318,7999,298380672,109114,21.94,14.55,-13.25
17 March 2021,595.55,603.55,586.9,589.25,595.4046283,524768,8719,312449296,100434,19.14,16.65,-6.3
18 March 2021,594.3,601.4,575.5,578.35,586.930677,677178,12679,397456542,163544,24.15,25.9,-15.95
19 March 2021,575,588.9,569.8,586.5,577.8163921,829218,11286,479135753,194078,23.4,19.1,11.5
22 March 2021,587.75,587.75,569.6,573.4,576.1451573,715176,12594,412045189,204689,28.62,18.15,-14.35
23 March 2021,577.9,589.25,574.65,586.3,580.1278082,2419610,10328,1403683046,1910523,78.96,14.6,8.4
24 March 2021,580.65,580.65,565,567.45,571.752441,593927,12368,339579212,185259,31.19,15.65,-13.2
25 March 2021,569,579,557.2,571.4,568.3258397,763228,14914,433762194,204035,26.73,21.8,2.4
26 March 2021,582.2,583.7,574.6,578.55,579.8111945,1092574,14178,633486636,560026,51.26,9.1,-3.65
30 March 2021,580.9,592.9,580.9,591.35,588.1467125,940329,11738,553051410,409313,43.53,12,10.45
31 March 2021,588,589.75,579.1,581.25,581.6580011,1272127,14877,739942848,799617,62.86,10.65,-6.75
01 April 2021,587.7,596.1,580.35,593.95,585.4924677,758795,13037,444268757,413639,54.51,15.75,6.25
05 April 2021,593,593,563.6,571.15,573.5468372,860492,16829,493532465,298744,34.72,29.4,-21.85
06 April 2021,572.5,578.25,564.4,565.95,569.8473987,601725,10273,342891426,154981,25.76,13.85,-6.55
07 April 2021,568.4,580,560,577.55,574.3316462,1332613,18677,765361818,681275,51.12,20,9.15
08 April 2021,581.7,585.75,573.25,576.75,578.145791,3042430,13778,1758968099,2706984,88.97,12.5,-4.95
09 April 2021,574.5,579.15,565.05,566.45,571.3217931,834558,20036,476801173,328208,39.33,14.1,-8.05
12 April 2021,548.65,551.8,531.25,538.4,541.7124612,1419739,41878,769090308,590874,41.62,20.55,-10.25
13 April 2021,539.25,563.7,538,560.45,553.0116582,578306,10507,319809960,122960,21.26,25.7,21.2
15 April 2021,564.2,577,554.35,575.5,571.5186704,2126711,13493,1215455043,1529519,71.92,22.65,11.3
16 April 2021,575,577.5,564,566.6,570.0584575,654732,14900,373235514,206757,31.58,13.5,-8.4
19 April 2021,559.65,562.35,531,559.6,544.5640288,956804,14506,521041041,342429,35.79,31.35,-0.05
20 April 2021,564.7,572.55,552.65,559,564.178067,664817,9396,375075170,187465,28.2,19.9,-5.7
22 April 2021,552.8,580.4,547.05,579.15,563.8014103,1666033,13886,939311755,1015249,60.94,33.35,26.35
23 April 2021,573.9,580.4,567.15,570.05,572.9444437,960827,13416,550500491,160090,16.66,13.25,-3.85
26 April 2021,600.3,604.9,587.75,590.75,596.4199808,3104237,57868,1851428972,1014830,32.69,17.15,-9.55
27 April 2021,592.1,601.8,591.1,598.8,597.0525629,518826,8666,309766393,113163,21.81,10.7,6.7
28 April 2021,590.15,622.65,590.15,621.1,611.8025436,1638154,33405,1002226784,843958,51.52,32.5,30.95
29 April 2021,623.45,628.45,609,621.25,619.0063755,911300,13385,564100510,123003,13.5,19.45,-2.2
30 April 2021,609.2,617,598.2,600.4,607.5040452,769431,12341,467432445,147005,19.11,18.8,-8.8
03 May 2021,597.4,598.95,587.45,597,592.1173498,624577,11464,369822878,200297,32.07,11.5,-0.4
04 May 2021,597,608,589,591.55,600.2720397,749806,14273,450087577,174542,23.28,19,-5.45
05 May 2021,596,604.25,584.75,602.65,596.5165766,740049,13083,441451496,183878,24.85,19.5,6.65
